Episode,Hotspots,AverageDelay,DelayedFlights,AverageNonZeroDelay,epsilon,seconds,state,Total_delay
0,49,31.160461935876008,3063,66.94972249428665,0.9,45.016,[ 0 23  0 ...  0  0 56],205252
1,59,36.51390366205744,3232,74.3496287128713,0.9,48.231,[ 0 23  0 ...  0  0 97],240770
2,55,34.3028415134478,3154,71.57482561826252,0.9,47.804,[ 0 14  0 ...  0  0 78],225963
3,65,33.952286886491414,3217,69.45601492073361,0.9,48.853,[ 0 18  0 ...  0  0 83],223488
4,64,36.30268956085701,3271,73.03821461326811,0.9,49.858,[ 0 19  0 ...  0  0 76],238936
5,59,32.23932533049688,2977,71.26872690628149,0.9,48.891,[ 0  3  0 ...  0  0 93],212454
6,65,34.850326698070205,2971,77.19623022551329,0.9,50.43,[ 0 13  0 ...  0  0 81],229742
7,64,32.113052727549004,2754,76.73783587509078,0.9,49.416,[ 0 23  0 ...  0  0 86],212019
8,74,38.50782555842577,3107,81.56420984872868,0.9,52.733,[  0   1   0 ...   0   0 100],253869
9,71,36.1715544750038,3039,78.33004277722935,0.9,53.441,[  0  17   0 ...   0   0 100],238397
10,67,37.14800182343109,3199,76.42106908408877,0.892,51.913,[ 0 20  0 ...  0  0 93],244703
11,62,38.938003342956996,3327,77.02164111812444,0.892,50.94,[  4  22   0 ...   0   0 100],256495
12,64,38.83194043458441,3229,79.14307835243109,0.892,51.95,[  0   2   0 ...   0   0 100],255907
13,65,40.26910803829205,3346,79.20233114166169,0.892,52.44,[93 20  0 ...  0  0 97],265287
14,72,39.942713873271536,3358,78.27963073257892,0.892,53.907,[  0  19   0 ...   0   0 100],263011
15,66,37.14344324570734,3183,76.79579013509267,0.892,51.902,[  0  19   0 ...   0   0 100],244597
16,62,38.45600972496581,3364,75.23156956004756,0.892,51.589,[10 19  0 ...  0  0 92],253185
17,63,37.44506913842881,3339,73.80233602875113,0.892,51.919,[ 0 19  0 ...  0  0 91],246456
18,61,35.486400243124145,3163,73.83370218147329,0.892,50.913,[ 0 23  0 ...  0  0 89],233540
19,71,34.257559641391886,3129,72.05145413870247,0.892,53.043,[  0  19   0 ...   0   0 100],225459
20,71,35.26910803829205,3225,71.97085271317829,0.884,52.274,[ 0  1  0 ...  0  0 91],232116
21,63,33.42212429721927,3056,71.97349476439791,0.884,50.804,[  0   7   0 ...   0   0 100],219967
22,66,35.32958516942714,3209,72.45372390152696,0.884,51.344,[  0  22   0 ...   0   0 100],232533
23,68,36.4835131438991,3107,77.2764724814934,0.884,51.411,[  0  30   0 ...   0   0 100],240125
24,74,38.62908372587753,3321,76.54862993074376,0.884,52.961,[ 0  5  0 ...  0  0 92],254252
25,69,38.046953350554624,3266,76.66472749540722,0.884,52.954,[  0  19   0 ...   0   0 100],250437
26,80,42.36286278681052,3415,81.63689604685213,0.884,55.773,[ 30  36   0 ...   0   0 100],278865
27,77,39.57270931469382,3270,79.64159021406728,0.884,55.445,[  0  37   0 ...   0   0 100],260489
28,77,38.97310439142987,3315,77.37013574660634,0.884,53.853,[10 18  0 ...  0  0 69],256525
29,67,36.66585625284911,3213,75.1005291005291,0.884,52.1,[ 0 47  0 ...  0  0 93],241355
30,75,36.28430329737122,3141,76.02260426615727,0.876,53.278,[ 0 18  0 ...  0  0 82],238887
31,69,37.64853365749886,3250,76.23538461538462,0.876,52.811,[ 0 18  0 ...  0  0 85],247932
32,69,35.74471964746999,3067,76.6990544506032,0.876,53.457,[ 0 37  0 ...  0  0 86],235394
33,72,36.354809299498555,3156,75.80830164765526,0.876,53.703,[ 0  9  0 ...  0  0 89],239400
34,72,35.376690472572555,3112,74.81169665809769,0.876,52.851,[ 0 21  0 ...  0  0 94],232984
35,73,38.13645342653092,3313,75.75490492001208,0.876,54.173,[ 0 18  0 ...  0  0 81],251027
36,70,38.05515879045738,3296,75.98331310679612,0.876,52.839,[ 0 19  0 ...  0  0 90],250473
37,75,37.135389758395384,3184,76.75502512562814,0.876,53.65,[ 0 18  0 ...  0  0 95],244422
38,73,37.76796839386112,3220,77.18975155279503,0.876,54.33,[ 0 18  0 ...  0  0 90],248571
39,72,38.122929645950464,3325,75.45473684210526,0.876,53.989,[ 0 27  0 ...  0  0 96],250908
40,68,35.32533049688497,3138,74.08413001912047,0.868,52.119,[  0  37   0 ...   0   0 100],232593
41,65,35.8632426682875,3194,73.89355040701315,0.868,52.34,[ 10  18   0 ...   0   0 100],236089
42,71,36.05561464822975,3187,74.45309068089112,0.868,52.831,[ 0 27  0 ...  0  0 95],237427
43,77,37.98267740464975,3337,74.90680251723104,0.868,54.411,[  0  36   0 ...   0   0 100],250147
44,79,36.13812490502963,3162,75.2134724857685,0.868,54.079,[ 0 18  0 ...  0  0 83],237951
45,69,35.288557969913384,3116,74.52952503209242,0.868,52.125,[ 0 21  0 ...  0  0 94],232447
46,76,38.674365597933445,3350,75.97492537313433,0.868,54.825,[ 20  18   0 ...   0   0 100],254539
47,71,38.85534113356633,3226,79.2644141351519,0.868,54.361,[ 40  37   0 ...   0   0 100],255723
48,71,36.303601276401764,3258,73.33149171270718,0.868,53.433,[  0  18   0 ...   0   0 100],238923
49,78,36.67998784379274,3169,76.17260965604292,0.868,56.296,[ 0 28  0 ...  0  0 90],241403
50,73,35.66995897280049,3128,75.0460358056266,0.86,54.478,[ 0 19  0 ...  0  0 85],234769
51,67,36.24206047713113,3217,74.14019272614237,0.86,53.03,[  0  20   0 ...   0   0 100],238544
52,66,34.76295395836499,3088,74.08516839378238,0.86,54.0,[ 0 10  0 ...  0  0 81],228824
53,70,35.93010180823583,3147,75.13695583095011,0.86,53.519,[ 0  9  0 ...  0  0 89],236500
54,70,36.12186597781492,3153,75.3942277196321,0.86,53.126,[20 19  0 ...  0  0 96],237784
55,74,37.335663273058806,3221,76.28252095622477,0.86,55.137,[ 0 27  0 ...  0  0 93],245798
56,75,36.001367573317125,3182,74.45788812067882,0.86,54.148,[ 0 18  0 ...  0  0 86],236979
57,68,35.55037228384744,3134,74.65124441608168,0.86,53.726,[ 0 27  0 ...  0  0 76],234003
58,77,39.25816745175505,3301,78.26658588306574,0.86,54.951,[ 0  9  0 ...  0  0 93],258395
59,71,37.664488679531985,3289,75.36333231985405,0.86,53.88,[ 0  0  0 ...  0  0 88],247923
60,72,37.76842425163349,3285,75.66331811263318,0.852,52.905,[  0  19   0 ...   0   0 100],248568
61,73,37.64078407536849,3246,76.3136167590881,0.852,53.46,[10 27  0 ...  0  0 95],247724
62,73,38.793496429114114,3283,77.76424002436795,0.852,54.144,[ 0 27  0 ...  0  0 95],255304
63,72,36.847895456617536,3090,78.47766990291262,0.852,53.532,[ 0 53  0 ...  0  0 94],242534
64,67,36.63698526059869,3199,75.36980306345733,0.852,53.065,[ 0 31  0 ...  0  0 94],241156
65,72,36.39826774046497,3101,77.24508223153822,0.852,54.132,[ 0 37  0 ...  0  0 86],239619
66,69,36.97553563288254,3227,75.40625968391696,0.852,53.705,[ 0 28  0 ...  0  0 87],243377
67,67,36.61738337638657,3233,74.53727188369935,0.852,52.846,[ 0 27  0 ...  0  0 81],241078
68,64,37.13614952134934,3310,73.83474320241692,0.852,52.501,[ 0 18  0 ...  0  0 86],244456
69,71,37.53715240844856,3202,77.14928169893817,0.852,54.197,[  0  18   0 ...   0   0 100],247107
70,74,39.41999696094818,3301,78.58921538927598,0.844,53.973,[ 0 27  0 ...  0  0 95],259462
71,75,37.17839234158942,3218,76.03200745804848,0.844,53.72,[  0  18   0 ...   0   0 100],244785
72,66,37.95061540799271,3218,77.61124922311996,0.844,52.319,[ 19  43   0 ...   0   0 100],249789
73,75,38.73879349642912,3298,77.30139478471801,0.844,55.601,[10 18  0 ...  0  0 90],255003
74,66,35.735146634250114,3155,74.53977812995245,0.844,52.509,[ 0 43  0 ...  0  0 90],235219
75,72,37.8339158182647,3283,75.84069448674992,0.844,53.674,[ 0 43  0 ...  0  0 84],248996
76,75,39.713265461176114,3347,78.08574843143113,0.844,56.174,[ 0 43  0 ...  0  0 92],261367
77,77,39.8924175657195,3332,78.79111644657863,0.844,55.191,[ 30  37   0 ...   0   0 100],262544
78,70,39.213645342653095,3328,77.54356971153847,0.844,54.067,[ 9 37  0 ...  0  0 97],258092
79,70,38.31028719039659,3203,78.71370590071808,0.844,53.12,[19 18  0 ...  0  0 82],252176
80,75,40.31150281112293,3334,79.57108578284343,0.836,55.127,[10 18  0 ...  0  0 95],265383
81,74,39.120954262270175,3319,77.57005122024707,0.836,54.85,[  9  37   0 ...   0   0 100],257502
82,74,37.76265005318341,3151,78.86893049825453,0.836,54.212,[ 0 19  0 ...  0  0 95],248618
83,64,36.9507673605835,3125,77.81536,0.836,53.205,[  0  27   0 ...   0   0 100],243276
84,72,36.466494453730434,3159,75.96897752453307,0.836,53.68,[30  4  0 ...  0  0 87],240122
85,75,38.49962011852302,3327,76.15449353772168,0.836,54.05,[78 27  0 ...  0  0 93],253455
86,71,38.35663273058805,3268,77.24143206854345,0.836,54.297,[45 43  0 ...  0  0 89],252492
87,71,35.93481233855037,3189,74.15710253998118,0.836,52.599,[ 0 18  0 ...  0  0 83],236577
88,70,37.166995897280046,3226,75.82021078735276,0.836,53.209,[ 9 37  0 ...  0  0 87],244646
89,69,36.55037228384744,3272,73.51405867970661,0.836,53.966,[ 0 46  0 ...  0  0 96],240607
90,65,36.611457225345696,3311,72.76955602536998,0.828,52.683,[19 18  0 ...  0  0 90],241028
91,77,37.320316061388844,3174,77.38027725267801,0.828,55.065,[ 0 18  0 ...  0  0 79],245652
92,62,36.891505850174745,3267,74.31374349556168,0.828,51.809,[19 18  0 ...  0  0 86],242849
93,64,35.56511168515423,3181,73.57874882112543,0.828,51.863,[ 20  27   0 ...   0   0 100],234146
94,73,35.937699437775414,3139,75.34437719018796,0.828,54.29,[ 0 18  0 ...  0  0 84],236624
95,71,37.00015195259079,3261,74.66973321067157,0.828,53.579,[ 0 37  0 ...  0  0 97],243589
96,71,36.73347515575141,3152,76.69511421319797,0.828,54.252,[10  9  0 ...  0  0 84],241805
97,71,36.076736058349795,3218,73.77905531385954,0.828,53.029,[10 36  0 ...  0  0 86],237483
98,70,36.69533505546269,3245,74.41972265023112,0.828,53.498,[ 0 37  0 ...  0  0 99],241544
99,75,37.81780884364078,3256,76.43703931203932,0.828,54.911,[ 0 37  0 ...  0  0 86],248961
100,72,36.66828749430178,3193,75.57594738490448,0.82,54.07,[ 9 55  0 ...  0  0 93],241426
101,73,35.530162589272145,3172,73.71500630517023,0.82,53.096,[ 0 37  0 ...  0  0 90],233877
102,77,36.259686977662966,3234,73.78633271490415,0.82,54.03,[ 0 37  0 ...  0  0 95],238686
103,78,36.864762194195414,3268,74.23714810281518,0.82,54.429,[ 0  7  0 ...  0  0 88],242655
104,68,36.22002735146634,3148,75.71918678526048,0.82,53.572,[ 0 37  0 ...  0  0 86],238436
105,71,37.88071721622854,3248,76.7527709359606,0.82,54.016,[ 0 19  0 ...  0  0 90],249339
106,72,37.6368333080079,3199,77.42669584245077,0.82,54.202,[ 0 19  0 ...  0  0 86],247727
107,76,36.7590031910044,3162,76.50569259962049,0.82,54.283,[10 19  0 ...  0  0 86],241963
108,75,37.63607354505395,3222,76.87243947858472,0.82,54.54,[ 0 19  0 ...  0  0 97],247737
109,70,37.020513599756875,3250,74.96369230769231,0.82,54.146,[ 0 19  0 ...  0  0 96],243696
110,74,37.48092994985564,3246,75.98952556993223,0.812,54.469,[10 38  0 ...  0  0 87],246697
111,74,38.29159702172922,3209,78.52820193206607,0.812,54.448,[  0  19   0 ...   0   0 100],252035
112,69,37.5420148913539,3256,75.87960687960688,0.812,53.321,[30 38  0 ...  0  0 78],247099
113,73,37.250113964443095,3148,77.87261753494282,0.812,54.98,[ 0  7  0 ...  0  0 83],245172
114,59,35.718127944081445,3259,72.12672598956735,0.812,51.032,[ 20  39   0 ...   0   0 100],235101
115,63,34.16547637137213,3014,74.59953550099536,0.812,51.477,[  0  28   0 ...   0   0 100],224900
